x,y,vx,vy, Paddle.y
1160, 290, -10, -10, 260
1150, 280, -10, -10, 260
1140, 270, -10, -10, 260
1130, 260, -10, -10, 260
1120, 250, -10, -10, 260
1110, 240, -10, -10, 260
1100, 230, -10, -10, 260
1090, 220, -10, -10, 260
1080, 210, -10, -10, 260
1070, 200, -10, -10, 260
1060, 190, -10, -10, 260
1050, 180, -10, -10, 260
1040, 170, -10, -10, 260
1030, 160, -10, -10, 260
1020, 150, -10, -10, 260
1010, 140, -10, -10, 260
1000, 130, -10, -10, 260
990, 120, -10, -10, 260
980, 110, -10, -10, 260
970, 100, -10, -10, 260
960, 90, -10, -10, 260
950, 80, -10, -10, 260
940, 70, -10, -10, 260
930, 60, -10, -10, 260
920, 50, -10, -10, 260
910, 40, -10, -10, 260
900, 30, -10, 10, 260
890, 40, -10, 10, 260
880, 50, -10, 10, 260
870, 60, -10, 10, 260
860, 70, -10, 10, 260
850, 80, -10, 10, 260
840, 90, -10, 10, 260
830, 100, -10, 10, 260
820, 110, -10, 10, 260
810, 120, -10, 10, 260
800, 130, -10, 10, 260
790, 140, -10, 10, 260
780, 150, -10, 10, 260
770, 160, -10, 10, 260
760, 170, -10, 10, 260
750, 180, -10, 10, 260
740, 190, -10, 10, 260
730, 200, -10, 10, 260
720, 210, -10, 10, 260
710, 220, -10, 10, 260
700, 230, -10, 10, 260
690, 240, -10, 10, 260
680, 250, -10, 10, 260
670, 260, -10, 10, 260
660, 270, -10, 10, 245
650, 280, -10, 10, 230
640, 290, -10, 10, 215
630, 300, -10, 10, 200
620, 310, -10, 10, 185
610, 320, -10, 10, 170
600, 330, -10, 10, 155
590, 340, -10, 10, 155
580, 350, -10, 10, 155
570, 360, -10, 10, 155
560, 370, -10, 10, 155
550, 380, -10, 10, 155
540, 390, -10, 10, 170
530, 400, -10, 10, 185
520, 410, -10, 10, 200
510, 420, -10, 10, 215
500, 430, -10, 10, 230
490, 440, -10, 10, 245
480, 450, -10, 10, 260
470, 460, -10, 10, 275
460, 470, -10, 10, 290
450, 480, -10, 10, 305
440, 490, -10, 10, 320
430, 500, -10, 10, 335
420, 510, -10, 10, 350
410, 520, -10, 10, 365
400, 530, -10, 10, 365
390, 540, -10, 10, 365
380, 550, -10, 10, 365
370, 560, -10, 10, 365
360, 570, -10, -10, 365
350, 560, -10, -10, 365
340, 550, -10, -10, 365
330, 540, -10, -10, 365
320, 530, -10, -10, 365
310, 520, -10, -10, 365
300, 510, -10, -10, 350
290, 500, -10, -10, 335
280, 490, -10, -10, 320
270, 480, -10, -10, 305
260, 470, -10, -10, 290
250, 460, -10, -10, 275
240, 450, -10, -10, 260
230, 440, -10, -10, 245
220, 430, -10, -10, 230
210, 420, -10, -10, 215
200, 410, -10, -10, 200
190, 400, -10, -10, 185
180, 390, -10, -10, 185
170, 380, -10, -10, 185
160, 370, -10, -10, 185
150, 360, -10, -10, 185
140, 350, -10, -10, 185
130, 340, -10, -10, 185
120, 330, -10, -10, 185
110, 320, -10, -10, 185
100, 310, -10, -10, 185
90, 300, -10, -10, 185
80, 290, -10, -10, 185
70, 280, -10, -10, 185
60, 270, -10, -10, 185
50, 260, -10, -10, 185
40, 250, -10, -10, 185
30, 240, 10, -10, 200
40, 230, 10, -10, 215
50, 220, 10, -10, 230
60, 210, 10, -10, 245
